752, 16:56:21, 8, 42.346855, -104.737380, 9783.14, 72755.75, 27.13, 27.00, 17.19, 6, 4, 4, 0
769, 16:56:38, 8, 42.346073, -104.736360, 9979.99, 72114.75, 27.13, 27.00, 17.06, 3, 6, 6, 0
786, 16:56:55, 8, 42.345490, -104.735490, 10213.25, 71566.75, 27.13, 27.00, 16.69, 8, 8, 10, 2
803, 16:57:12, 7, 42.345089, -104.734240, 10458.01, 71003.50, 27.19, 27.00, 16.44, 9, 7, 9, 1
820, 16:57:29, 8, 42.344368, -104.733020, 10652.23, 70431.75, 27.19, 27.00, 16.13, 8, 4, 6, 0
837, 16:57:46, 8, 42.343494, -104.732090, 10873.03, 69867.50, 27.19, 27.00, 15.56, 7, 8, 5, 2
854, 16:58:3, 8, 42.342682, -104.730930, 11148.95, 69296.75, 27.19, 26.50, 14.75, 8, 5, 4, 2
871, 16:58:20, 8, 42.342003, -104.729670, 11402.23, 68708.75, 27.25, 26.50, 14.31, 4, 8, 8, 0
888, 16:58:37, 8, 42.341164, -104.728540, 11592.52, 68099.00, 27.25, 26.50, 14.50, 8, 13, 13, 1
905, 16:58:54, 8, 42.340488, -104.727220, 11840.88, 67540.00, 27.25, 26.50, 13.69, 11, 14, 9, 2
922, 16:59:11, 8, 42.339966, -104.725660, 12068.57, 66953.75, 27.25, 26.50, 13.06, 5, 8, 5, 1
939, 16:59:28, 8, 42.339127, -104.723690, 12264.76, 66403.50, 27.25, 26.00, 12.69, 6, 4, 11, 0
956, 16:59:45, 7, 42.338314, -104.721900, 12485.24, 65894.75, 27.25, 26.00, 12.13, 6, 11, 7, 1
973, 17:0:2, 8, 42.338036, -104.720000, 12729.00, 65355.25, 27.25, 26.00, 11.50, 6, 11, 6, 1
990, 17:0:19, 8, 42.337753, -104.718210, 12985.24, 64809.00, 27.25, 26.00, 10.88, 8, 8, 10, 2
1007, 17:0:36, 8, 42.337498, -104.716660, 13254.26, 64233.00, 27.25, 25.50, 10.38, 18, 14, 14, 2
1024, 17:0:53, 8, 42.337051, -104.714870, 13571.52, 63632.75, 27.25, 25.50, 9.81, 11, 10, 13, 1
1041, 17:1:10, 8, 42.336281, -104.713000, 13862.86, 62999.25, 27.25, 25.50, 9.25, 10, 9, 10, 3
1058, 17:1:27, 8, 42.335232, -104.711220, 14078.08, 62370.00, 27.25, 25.50, 8.94, 15, 11, 7, 1
1075, 17:1:44, 8, 42.334114, -104.709510, 14306.76, 61781.75, 27.25, 25.00, 8.38, 11, 19, 14, 2
1092, 17:2:1, 8, 42.333347, -104.707360, 14529.86, 61193.75, 27.25, 25.00, 8.19, 15, 13, 9, 2
1109, 17:2:18, 8, 42.332340, -104.705110, 14724.08, 60637.25, 27.25, 25.00, 7.88, 14, 15, 19, 4
1126, 17:2:35, 8, 42.331577, -104.703290, 14938.32, 60131.25, 27.25, 24.50, 7.31, 15, 17, 20, 3
